ID,A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, Sex, Age, Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
1,4,1,4,4,2,1,3,4,4,4,1,3,2,3,1,2,2,4,3,4,2,2,4,1,3,2,4,5,6,6,4,5,4,3,6,4,3,5,4,0,4,1,15,10,0,0,1,0,Communication
2,4,1,1,2,1,1,3,1,1,3,1,2,4,2,3,4,1,4,1,3,1,1,4,1,4,1,3,4,3,3,5,6,6,1,6,6,3,4,4,1,0,0,14,10,0,0,0,0,"School, Games"
3,4,4,4,4,4,4,2,4,4,4,4,4,2,3,4,4,4,4,1,4,4,4,4,4,4,1,1,1,1,1,1,1,2,,1,1,1,1,1,0,0,1,14,10,0,,0,0,Communication
4,4,4,1,4,2,4,3,4,2,4,2,4,1,3,3,4,2,2,1,4,1,1,3,3,4,2,1,6,7,6,4,2,3,2,4,3,2,5,3,1,0,1,15,10,0,1,0,0,School
5,2,2,4,3,4,4,2,,3,2,3,4,3,4,1,4,3,4,4,4,2,1,3,2,2,2,2,4,4,,4,5,4,2,4,5,3,5,2,16,0,0,16,10,0,0,1,0,Communication
6,4,4,3,4,1,3,4,1,4,4,4,2,1,3,4,4,3,1,2,4,4,4,4,4,4,1,3,2,1,5,6,5,5,4,3,6,3,6,6,0,0,1,16,10,0,0,0,1,
7,2,1,4,2,1,4,4,4,1,1,1,3,3,4,4,3,4,1,1,2,1,4,4,4,4,2,2,2,1,1,2,3,2,2,5,5,5,2,1,2,4,0,15,10,0,0,0,0,"Games, Other"
8,4,3,3,4,4,4,4,4,4,2,1,2,3,1,1,4,3,4,2,4,2,1,3,2,4,2,4,5,6,,5,,5,,5,5,,3,,2,0,2,18,10,0,0,0,0,Communication
9,4,4,1,1,4,4,4,1,4,1,1,2,1,4,2,4,1,2,1,3,1,1,4,3,4,1,1,3,6,2,5,3,2,1,7,3,6,7,5,0,2,2,16,10,0,0,0,0,Music
10,4,4,4,4,2,4,4,4,3,1,1,1,1,4,4,1,4,1,1,4,2,4,4,2,2,2,2,4,2,3,5,4,4,4,1,1,1,5,1,14,0,0,16,10,0,1,0,0,School
11,4,4,1,4,4,,1,2,2,4,2,,3,3,1,2,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,,6,2,,2,2,2,2,1,0,2,16,10,0,0,1,0,School
12,4,4,1,4,4,4,4,1,4,1,1,1,1,1,1,2,2,4,1,4,1,4,4,1,4,1,1,4,,2,,3,4,4,,6,2,4,4,2,0,1,15,10,0,0,0,0,Games
13,4,4,2,4,1,4,2,3,4,3,4,2,3,4,2,4,2,4,1,4,2,4,4,2,2,2,3,4,5,2,1,6,3,2,2,4,5,6,6,0,0,1,17,10,0,0,0,0,School
14,3,4,4,4,2,4,4,4,2,1,4,3,1,2,1,4,2,,2,3,4,2,4,2,4,2,4,5,3,6,4,3,1,2,1,3,2,3,4,0,0,1,17,10,0,1,0,0,Social Media
15,4,2,3,4,4,2,4,2,4,1,1,2,3,2,3,3,3,4,2,4,1,4,4,4,3,2,4,6,7,6,7,2,5,4,4,6,5,7,5,4,0,1,17,10,0,0,0,0,Other
16,3,2,4,3,1,2,1,3,4,3,4,,1,2,4,2,3,1,4,3,1,1,3,3,4,2,3,2,3,3,3,2,1,2,1,5,1,3,5,15,0,,17,10,0,0,0,0,School
17,3,4,2,4,2,4,2,4,1,1,1,1,3,4,3,3,2,4,3,4,1,4,2,3,2,1,3,2,3,1,1,5,6,2,3,3,2,5,5,1,4,1,17,10,0,0,0,0,School
18,4,2,3,4,4,3,4,1,2,,3,4,1,2,3,4,4,1,3,4,4,4,4,3,4,2,3,7,7,6,5,4,7,4,6,2,1,5,7,14,0,1,15,10,0,1,0,0,Communication
19,4,2,4,1,4,1,4,1,3,2,4,3,3,4,4,4,4,4,1,2,1,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,14,10,0,,0,,
20,4,4,3,4,3,2,3,2,3,4,4,1,4,1,4,2,2,3,2,4,1,1,4,2,4,2,2,2,1,1,4,5,2,4,5,2,2,5,1,0,4,0,15,10,0,0,0,0,Games
21,1,4,4,1,2,4,1,1,1,2,3,4,1,4,1,4,1,4,1,4,2,4,4,1,2,2,3,4,1,2,2,6,3,4,,5,2,1,3,1,4,0,14,10,0,0,1,0,Games
22,3,3,3,3,4,4,2,3,4,3,2,2,3,2,2,2,1,4,4,2,2,4,4,2,3,2,4,1,2,7,1,7,1,2,1,2,1,1,7,0,2,1,16,10,0,0,0,1,Music
23,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,3,4,3,2,2,2,3,2,0,3,0,13,10,0,0,1,0,Communication
24,4,2,1,4,3,3,2,3,1,3,1,,2,2,1,2,2,3,1,2,2,2,3,2,3,3,2,3,2,,2,3,4,,2,2,1,2,2,5,2,0,16,10,0,1,0,0,School
25,2,4,2,4,3,1,1,4,2,4,1,3,4,4,2,4,4,2,1,4,2,4,4,3,2,,1,6,6,7,4,3,2,1,6,2,1,1,7,13,0,0,14,10,0,0,0,0,School
26,1,2,1,4,1,1,4,4,4,1,1,4,4,4,1,4,1,4,1,4,4,4,4,1,4,4,4,6,2,2,7,7,,1,1,7,4,7,1,10,8,0,16,10,0,1,1,1,Games
27,4,2,3,3,2,4,2,1,1,4,1,2,3,4,3,3,2,2,1,4,2,2,4,2,4,2,2,3,3,5,1,,5,4,4,3,1,4,6,15,8,1,16,10,0,0,0,0,Music
28,4,3,2,4,2,3,4,2,3,3,1,4,1,1,2,1,3,3,1,2,3,4,3,2,3,2,2,4,5,6,4,5,,5,3,2,1,4,3,0,4,0,15,10,0,1,0,0,"Communication, Games, Social Media, Music"
