Sex	Class
F	7
M	7
M	7
F	7
F	7
F	7
M	7
M	7
F	7
F	7
M	7
M	7
M	7
F	7
M	7
F	7
M	7
F	7
F	7
M	7
F	7
M	7
F	7
F	7
M	7
F	7
M	7
M	7
F	7
F	7
M	7
M	7
F	7
M	7
F	7
F	7
M	7
M	7
M	7
M	7
M	7
M	7
F	7
M	7
F	7
F	7
M	7
M	7
M	7
M	7
F	7
F	7
F	7
M	7
F	7
F	7
F	7
F	7
M	7
M	7
M	7
F	7
M	7
M	7
F	7
M	7
F	7
M	7
F	7
F	7
F	7
M	7
F	7
M	7
M	7
F	7
F	7
M	7
M	7
M	7
F	7
F	7
M	7
M	7
F	7
M	7
F	7
M	7
M	7
F	7
F	7
F	7
M	7
F	7
F	7
F	7
M	7
M	7
M	7
M	7
F	7
M	7
M	7
F	7
M	7
M	7
F	7
M	7
M	7
F	7
F	7
F	7
M	7
M	7
M	7
F	7
M	7
M	7
F	7
M	7
F	7
F	7
F	7
M	7
M	7
M	7
M	7
F	7
M	7
F	7
M	7
F	7
M	7
M	7
M	7
M	7
M	7
M	7
F	7
M	7
M	7
M	7
M	7
F	7
M	7
M	7
F	7
M	7
F	7
M	7
M	7
F	7
F	7
F	7
M	7
F	7
F	7
M	7
M	7
M	7
F	7
M	7
F	7
F	7
F	7
F	7
F	7
M	7
F	7
M	7
M	7
F	7
M	7
F	8
M	8
F	8
M	8
M	8
F	8
M	8
F	8
M	8
M	8
M	8
F	8
F	8
M	8
M	8
F	8
F	8
M	8
M	8
M	8
F	8
F	8
F	8
M	8
M	8
M	8
M	8
F	8
F	8
M	8
M	8
F	8
F	8
M	8
F	8
F	8
F	8
F	8
M	8
F	8
F	8
F	8
M	8
M	8
F	8
F	8
F	8
M	8
M	8
F	8
F	8
M	8
F	8
F	8
F	8
F	8
F	8
F	8
F	8
F	8
M	8
M	8
M	8
F	8
F	8
M	8
M	8
M	8
F	8
F	8
F	8
M	8
M	8
M	8
F	8
F	8
F	8
F	8
M	8
M	8
F	8
M	8
F	8
F	8
F	8
F	8
F	8
M	8
F	8
F	8
F	8
M	8
F	8
F	8
F	8
M	8
F	8
F	8
M	8
F	8
F	8
F	8
F	8
M	8
F	8
F	8
F	8
F	8
M	8
M	8
M	8
F	8
M	8
F	8
M	8
M	8
F	8
M	8
F	8
M	8
M	8
F	8
F	8
F	8
F	9
M	9
F	9
F	9
F	9
M	9
F	9
F	9
M	9
F	9
F	9
F	9
F	9
M	9
M	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
M	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
F	9
M	9
F	9
F	9
M	9
F	9
F	9
F	9
M	9
F	9
F	9
F	9
M	9
F	9
M	9
F	9
M	9
F	9
M	9
M	9
M	9
M	9
F	9
M	9
M	9
M	9
F	9
M	9
F	9
F	9
M	9
M	9
M	9
F	9
F	9
F	9
M	9
M	9
F	9
M	9
F	9
F	9
F	9
F	9
F	9
M	10
F	10
M	10
F	10
F	10
M	10
M	10
F	10
F	10
F	10
F	10
M	10
M	10
F	10
M	10
F	10
M	10
F	10
F	10
M	10
F	10
F	10
F	10
M	10
M	10
F	10
M	10
F	10
F	10
F	10
F	10
F	10
M	10
F	10
M	10
M	10
F	10
F	10
M	10
F	10
F	10
M	10
F	10
F	10
M	10
F	10
F	10
M	10
M	10
F	10
F	10
M	10
M	10
M	10
F	10
F	10
M	10
M	10
M	10
M	10
M	10
F	10
M	10
M	10
F	10
F	10
F	10
F	10
F	10
M	10
M	10
M	10
M	10
M	10
M	10
F	10
M	10
M	10
F	10
M	10
M	10
M	10
M	10
F	10
M	10
F	11
F	11
M	11
F	11
F	11
F	11
F	11
F	11
F	11
M	11
F	11
F	11
M	11
M	11
F	11
F	11
F	11
F	11
F	11
M	11
F	11
F	11
F	11
M	11
M	11
M	11
M	11
M	11
F	11
M	11
F	11
F	11
F	11
F	11
M	11
M	11
F	11
M	11
M	11
M	11
F	11
M	11
M	11
F	11
F	11
F	11
F	11
F	11
M	11
F	11
F	11
M	11
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
F	12
M	12
F	12
F	12
F	12
F	12
F	12
M	12
F	12
M	12
F	12
F	12
F	12
F	12
F	12
M	12
F	12
F	12
M	12
M	12
F	12
M	12
M	12
F	12
F	12
M	12
M	12
F	12
M	12
F	12
F	12
F	12
F	12
F	12
F	12
M	12
F	12
M	12
F	13
M	13
F	13
M	13
F	13
M	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
F	13
M	13
M	13
M	13
F	13
F	13
M	13
M	13
F	13
F	13
F	13
M	13
M	13
M	13
M	13
M	13
